0,0,0,0,0
-3.924024414,0.260387723,-0.031159465,0.006084366,-0.01721543
-2.907102389,-0.089543838,-0.040558373,-0.011097978,-0.012583282
-4.057094577,0.081245658,0.179628173,0.02719132,-0.01820101
0,0,0,0,0
-2.887288384,1.216378014,0.211491154,-0.106644252,0
#NAME?,0,0,0,0
-6.541094159,-6.322182484,0.079885716,-1.657989701,-0.118467915
0,0,0,0,0
-5.504833076,0.257036218,0.209685019,-0.052258186,0
-4.110906623,-67.10755252,0.042548549,-0.255825255,0
#NAME?,0,0,0,0
0,0,0,0,0
-5.270711827,0.228451716,0.197315503,-0.068055263,0
-1.379786769,0.718744305,-3.3516879,0.773169944,0
-3.464525709,-0.435477078,-0.01157807,0.076979096,0